playerAlias,
gender,M
age,
education,Superior Incompleto
destro,C
totalPlays,35
totalCorrect,31
successRate,0,9
playId,,8112016,121129
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,2,False,2,267026
2,0,False,3,600298
1,0,False,1,416108
0,0,True,4,899513
2,2,True,1,550371
1,1,True,0,6835971
0,0,True,0,78216
2,2,True,0,8334889
1,1,True,4,30124
0,0,True,1,933613
2,2,True,1,633378
1,1,True,0,4500182
0,0,True,0,9501731
2,2,True,0,9667211
1,1,True,0,4657829
0,0,True,1,549904
2,2,True,2,033128
1,1,True,2,017219
0,0,True,1,700612
2,2,True,1,116991
1,1,True,0,7670422
0,0,True,0,81656
2,2,True,0,6167219
1,1,True,0,4660051
0,0,True,21,26753
2,2,True,0,667326
1,1,True,0,3997049
0,0,True,0,5335519
2,2,True,4,717434
1,0,False,2,633631
0,0,True,2,399875
2,2,True,7,318093
1,1,True,1,94967
0,0,True,1,365722
2,2,True,0,583544
