playerAlias,Fernando
gender,M
age,
education,Superior Completo
destro,D
totalPlays,30
totalCorrect,30
successRate,1
playId,Fernando,8112016,121223
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,0,True,7,882695
2,2,True,5,499332
1,1,True,5,08241
0,0,True,5,748736
2,2,True,3,866948
1,1,True,5,349621
0,0,True,3,599914
2,2,True,4,582203
1,1,True,17,54822
0,0,True,4,100532
2,2,True,4,79928
1,1,True,3,217214
0,0,True,2,899064
2,2,True,4,032934
1,1,True,2,666157
0,0,True,4,44915
2,2,True,3,701482
1,1,True,2,700967
0,0,True,4,55009
2,2,True,3,766974
1,1,True,5,466743
0,0,True,3,682778
2,2,True,6,416948
1,1,True,4,699927
0,0,True,4,116228
2,2,True,4,83326
1,1,True,2,933527
0,0,True,6,750712
2,2,True,23,48117
1,1,True,4,599868
