playerAlias,
gender,M
age,23
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,39
successRate,1
playId,,8112016,121414
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,1,False,11,81569
2,2,True,8,899784
1,1,True,4,115804
0,0,True,5,299449
2,2,True,2,717444
1,1,True,2,549675
0,0,True,3,665761
2,2,True,2,716603
1,1,True,3,250426
0,0,True,2,715587
2,2,True,2,533181
1,1,True,2,916451
0,0,True,3,617551
2,2,True,3,066439
1,1,True,3,248243
0,0,True,14,01651
2,2,True,2,433591
1,1,True,2,949754
0,0,True,5,016451
2,2,True,2,849235
1,1,True,2,13164
0,0,True,2,749821
2,2,True,3,117377
1,1,True,2,898515
0,0,True,12,24978
2,2,True,2,550169
1,1,True,2,933456
0,0,True,9,033211
2,2,True,3,13195
1,1,True,2,449419
0,0,True,3,884362
2,2,True,4,034037
1,1,True,3,566613
0,0,True,3,816309
2,2,True,4,716772
1,1,True,3,066597
0,0,True,3,866042
2,2,True,3,515727
1,1,True,33,96468
0,0,True,15,24925
