playerAlias,MAri
gender,F
age,23
education,Superior Incompleto
destro,D
totalPlays,26
totalCorrect,6
successRate,0,1
playId,MAri,8112016,121424
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,2,False,6,551199
2,0,False,3,18504
1,2,False,0,783571
0,0,True,1,917721
2,1,False,2,734136
1,2,False,1,250845
0,0,True,1,150955
2,0,False,1,601141
1,0,False,0,8174171
0,0,True,3,617725
2,2,True,1,23365
1,2,False,1,267764
0,2,False,3,618448
2,2,True,3,783954
1,2,False,3,001371
0,1,False,4,369903
2,1,False,6,318983
1,0,False,3,233617
0,2,False,1,967345
2,1,False,3,01819
1,2,False,3,083914
0,2,False,2,134345
2,0,False,2,417452
1,0,False,1,833799
0,1,False,1,83315
2,2,True,3,833174
