playerAlias,
gender,M
age,
education,Superior Incompleto
destro,C
totalPlays,40
totalCorrect,32
successRate,0,9
playId,,8112016,121949
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,2,516451
2,2,True,0,3503649
2,2,True,1,083102
1,0,False,1,317107
0,1,False,2,199949
2,1,False,1,633229
2,2,True,0,265898
1,2,False,0,3835649
0,0,True,0,966867
2,2,True,0,3829191
2,2,True,0,116596
1,1,True,1,083789
0,0,True,0,115824
2,2,True,1,31554
2,2,True,0,7836959
1,1,True,0,06718493
0,0,True,0,01669097
2,2,True,1,682827
2,2,True,2,101079
1,1,True,1,683927
0,0,True,1,050382
2,2,True,0,5671859
2,1,False,0,4835398
1,1,True,0,316895
0,0,True,0,01594782
2,2,True,0,9164109
2,1,False,0,516413
1,1,True,0,916374
0,0,True,0,350086
2,2,True,0,06676197
2,2,True,1,81595
1,1,True,1,5325
0,0,True,1,0494
2,2,True,1,383051
2,2,True,0,01649785
1,1,True,0,800415
0,0,True,1,133136
2,2,True,0,3680232
2,1,False,0,9330809
1,1,True,0,5661042
