playerAlias,
gender,M
age,
education,Superior Incompleto
destro,C
totalPlays,60
totalCorrect,53
successRate,1
playId,,8112016,122525
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,2,5969
2,2,True,4,766155
0,2,False,3,015774
0,2,False,3,14855
2,0,False,3,650916
0,0,True,0,8000951
0,0,True,10,0665
2,2,True,5,33312
0,0,True,0,5331962
0,0,True,1,266093
2,2,True,1,665969
0,0,True,0,7664399
0,0,True,0,6005259
2,2,True,1,08304
0,0,True,0,3834522
0,0,True,0,4006219
2,0,False,1,700836
0,0,True,0,499949
0,2,False,0,3671732
2,2,True,1,649874
0,0,True,1,850112
0,0,True,0,733433
2,2,True,0,8331552
0,0,True,0,283551
0,0,True,0,6167729
2,2,True,0,3505921
0,0,True,0,817322
0,0,True,0,7660489
2,2,True,0,416095
0,0,True,0,9501171
0,0,True,0,2672269
2,2,True,0,100225
0,0,True,0,7832489
0,0,True,0,649992
2,2,True,0,1162901
0,0,True,4,799477
0,0,True,4,083489
2,2,True,4,050156
0,0,True,0,5503352
0,0,True,2,249078
2,0,False,20,66631
0,0,True,21,21695
0,0,True,0,1661732
2,2,True,0,466501
0,0,True,0,433526
0,0,True,3,833668
2,2,True,14,20051
0,0,True,4,249281
0,0,True,3,583975
2,2,True,0,9000778
0,0,True,0,1671419
0,0,True,3,365828
2,2,True,0,3160291
0,0,True,0,350136
0,0,True,0,383498
2,2,True,0,3331511
0,0,True,0,3001778
0,0,True,0,731936
2,2,True,0,58323
0,0,True,4,765863
