playerAlias,MARI
gender,M
age,23
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,53
successRate,1
playId,MARI,8112016,12265
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,3,268279
2,2,True,0,9000909
0,1,False,2,767493
0,2,False,1,366423
2,1,False,0,949579
0,0,True,2,500731
0,0,True,3,633675
2,2,True,8,468868
0,0,True,3,101112
0,2,False,3,017023
2,0,False,2,783699
0,0,True,1,466958
0,0,True,12,33687
2,2,True,3,383992
0,0,True,3,917878
0,2,False,3,434107
2,2,True,10,05215
0,0,True,3,734647
0,0,True,4,435209
2,2,True,4,601894
0,0,True,3,284982
0,0,True,3,067022
2,2,True,2,766652
0,0,True,2,433388
0,0,True,2,134545
2,2,True,1,23436
0,0,True,5,434672
0,0,True,2,61748
2,2,True,2,984128
0,0,True,1,900768
0,0,True,2,051253
2,2,True,2,333795
0,0,True,4,017745
0,0,True,2,100285
2,2,True,0,65066
0,0,True,0,8337059
0,0,True,0,8173189
2,2,True,2,16728
0,0,True,2,067659
0,0,True,2,484113
2,2,True,3,067795
0,0,True,1,000501
0,0,True,2,167476
2,2,True,3,017261
0,0,True,2,434137
0,0,True,0,5334811
2,2,True,0,900548
0,0,True,2,56698
0,0,True,1,916376
2,2,True,2,600225
0,0,True,3,501781
0,0,True,2,367719
2,2,True,3,934761
0,0,True,2,31765
0,0,True,0,4834809
2,2,True,0,7338669
0,0,True,0,7829838
0,0,True,5,951932
2,2,True,3,067526
0,0,True,3,034218
