playerAlias,
gender,F
age,21
education,Superior Incompleto
destro,D
totalPlays,41
totalCorrect,39
successRate,1
playId,,8112016,12269
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,2,False,2,833701
2,1,False,2,699556
1,1,True,0,8663259
0,0,True,2,331541
2,2,True,0,5824678
1,1,True,0,566555
0,0,True,1,031839
2,2,True,0,532804
1,1,True,0,216536
0,0,True,1,733779
2,2,True,1,034086
1,1,True,0,7671728
0,0,True,0,517087
2,2,True,0,3828261
1,1,True,2,93249
0,0,True,2,35039
2,2,True,1,149562
1,1,True,1,11712
0,0,True,2,065462
2,2,True,1,366509
1,1,True,0,2501559
0,0,True,3,882826
2,2,True,1,517374
1,1,True,0,3004901
0,0,True,1,316516
2,2,True,0,3835201
1,1,True,0,06736803
0,0,True,2,566716
2,2,True,0,4838068
1,1,True,1,466794
0,0,True,1,983178
2,2,True,1,417243
1,1,True,1,633218
0,0,True,3,315282
2,2,True,3,031966
1,1,True,4,083663
0,0,True,3,015865
2,2,True,6,450218
1,1,True,13,68357
0,0,True,0,5998259
2,2,True,7,482167
