playerAlias,
gender,M
age,
education,Fundamental Completo
destro,D
totalPlays,18
totalCorrect,18
successRate,1
playId,,8112016,122838
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,0,True,2,616312
2,2,True,2,782038
1,1,True,2,216728
0,0,True,3,266648
2,2,True,2,550618
1,1,True,2,665966
0,0,True,3,000208
2,2,True,2,666221
1,1,True,2,233184
0,0,True,2,650337
2,2,True,2,84996
1,1,True,3,250363
0,0,True,6,317364
2,2,True,13,11613
1,1,True,5,53251
0,0,True,6,116351
2,2,True,3,131463
1,1,True,2,516254
