playerAlias,Emmanuelle
gender,F
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,33
successRate,1
playId,Emmanuelle,8112016,123013
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,151185
2,0,False,0,5160091
2,2,True,0,282959
1,2,False,0,06627107
0,2,False,0,3990519
2,1,False,0,03355289
2,2,True,0,2157061
1,2,False,0,1992421
0,0,True,1,299565
2,2,True,0,4002352
2,2,True,1,049754
1,2,False,0,3492501
0,0,True,3,598312
2,2,True,1,849902
2,2,True,0,166383
1,1,True,0,3660181
0,0,True,0,5170391
2,2,True,1,749782
2,2,True,2,966037
1,1,True,1,449926
0,0,True,1,633172
2,2,True,1,566249
2,2,True,0,6842351
1,1,True,0,366236
0,0,True,0,466454
2,2,True,0,749583
2,2,True,0,4327581
1,1,True,2,149213
0,0,True,1,617318
2,2,True,1,400171
2,2,True,0,449564
1,1,True,0,3508902
0,0,True,0,832947
2,2,True,0,71681
2,2,True,0,5504742
1,1,True,2,934817
0,0,True,1,182339
2,2,True,1,800694
2,2,True,1,865353
1,1,True,0,6499939
