playerAlias,
gender,M
age,
education,Superior Incompleto
destro,C
totalPlays,27
totalCorrect,26
successRate,1
playId,,8112016,123023
stageID,nivel4-v1
resultInt,optionChosenInt,correct, time
0,0,True,2,190116
2,2,True,1,316515
1,0,False,4,66789
0,0,True,0,299525
2,2,True,0,2994802
1,1,True,0,05008197
0,0,True,1,599627
2,2,True,9,716417
1,1,True,47,33204
0,0,True,158,3143
2,2,True,1,649355
1,1,True,0,01669598
0,0,True,1,032866
2,2,True,3,050051
1,1,True,0,749342
0,0,True,5,799945
2,2,True,53,08266
1,1,True,7,716966
0,0,True,0,5671091
2,2,True,0,1661441
1,1,True,0,2838619
0,0,True,0,4502571
2,2,True,1,799631
1,1,True,1,199904
0,0,True,0,132463
2,2,True,0,100698
1,1,True,0,1000569
