playerAlias,Enrico
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,37
successRate,0,9
playId,Enrico,8112016,123824
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
1,0,False,2,999289
0,0,True,1,05104
2,2,True,0,4850979
2,1,False,2,115773
1,1,True,1,316331
0,0,True,2,866382
2,2,True,1,16612
2,2,True,0,4503531
1,1,True,3,499475
0,0,True,5,816543
2,2,True,1,951279
2,2,True,0,4484539
1,1,True,2,632914
0,0,True,2,983226
2,2,True,0,567374
2,2,True,0,899986
1,1,True,5,117088
0,0,True,2,883067
2,2,True,4,01723
2,2,True,0,7670171
1,1,True,5,981644
0,0,True,5,767912
2,2,True,12,4348
2,2,True,5,299325
1,1,True,9,899879
0,0,True,2,916483
2,2,True,2,816423
2,2,True,3,784616
1,1,True,3,066669
0,0,True,5,865697
2,2,True,1,999588
2,1,False,4,866389
1,1,True,2,083043
0,0,True,0,9494798
2,2,True,1,84995
2,2,True,0,58319
1,1,True,2,884113
0,0,True,4,215508
2,2,True,4,283092
2,2,True,2,549516
