playerAlias,Lubdub
gender,M
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,29
successRate,0,9
playId,Lubdub,8112016,12413
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,5,602081
0,2,False,3,034397
0,1,False,6,235426
1,2,False,8,770816
0,1,False,6,053047
2,0,False,12,43864
2,2,True,1,033619
1,2,False,3,767149
0,0,True,5,835983
2,2,True,13,73895
2,2,True,1,650019
1,1,True,2,183281
0,2,False,4,752641
2,2,True,1,283852
2,2,True,1,99991
1,1,True,2,300166
0,0,True,2,3009
2,2,True,2,500574
2,2,True,0,8343379
1,1,True,3,234398
0,0,True,5,551963
2,2,True,2,283949
2,1,False,2,869029
1,1,True,0,699451
0,0,True,4,018897
2,2,True,2,584502
2,2,True,1,199348
1,1,True,32,01168
0,0,True,2,535335
2,0,False,1,683491
2,0,False,0,3998058
1,1,True,3,284649
0,0,True,2,383947
2,2,True,1,834295
2,2,True,1,834732
1,1,True,2,083563
0,0,True,2,084659
2,2,True,1,034506
2,2,True,0,4170101
1,1,True,0,06676197
