playerAlias,LuisXV
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,29
successRate,1
playId,LuisXV,8112016,124311
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,2,True,4,584521
0,0,True,5,051713
0,1,False,3,117217
1,2,False,2,083942
0,2,False,2,834338
2,0,False,8,085966
2,0,False,5,717915
1,1,True,1,700072
0,2,False,5,551528
2,2,True,4,817915
2,0,False,3,501796
1,0,False,19,023
0,0,True,1,517249
2,2,True,3,017683
2,1,False,2,850074
1,0,False,3,467989
0,0,True,10,10232
2,2,True,18,83968
2,0,False,8,386109
1,1,True,2,517198
0,0,True,3,084702
2,2,True,3,31733
2,2,True,0,9672711
1,1,True,2,150364
0,0,True,7,686083
2,2,True,14,63771
2,2,True,12,90343
1,1,True,5,618102
0,0,True,4,385072
2,2,True,3,534906
2,2,True,2,833379
1,1,True,6,235021
0,0,True,3,251615
2,2,True,3,717339
2,2,True,0,500401
1,1,True,0,3996742
0,0,True,0,6661351
2,2,True,2,25014
2,2,True,0,599359
1,1,True,3,034149
