playerAlias,
gender,M
age,
education,Superior Incompleto
destro,D
totalPlays,19
totalCorrect,18
successRate,1
playId,,8112016,12458
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,2,False,3,967808
2,2,True,2,318537
1,1,True,0,5170419
0,0,True,1,933954
2,2,True,0,7348449
1,1,True,0,5338821
0,0,True,1,516858
2,2,True,2,600791
1,1,True,0,4163749
0,0,True,2,684732
2,2,True,1,63425
1,1,True,1,719358
0,0,True,4,034938
2,2,True,3,068584
1,1,True,5,234541
0,0,True,8,485698
2,2,True,3,602075
1,1,True,9,952775
0,0,True,2,333717
