playerAlias,Lubdub
gender,M
age,21
education,Superior Incompleto
destro,D
totalPlays,61
totalCorrect,50
successRate,1
playId,Lubdub,8112016,124646
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,6,43896
2,0,False,1,184168
0,2,False,3,717741
0,2,False,1,383985
2,1,False,1,350475
0,0,True,4,301216
0,2,False,8,62068
2,2,True,4,968666
0,0,True,0,666342
0,0,True,0,2162991
2,2,True,3,035571
0,0,True,0,416883
0,0,True,0,2503128
2,2,True,2,985648
0,0,True,1,382763
0,0,True,0,7499321
2,2,True,3,018422
0,0,True,0,634587
0,0,True,1,38425
2,2,True,2,967091
0,0,True,2,250723
0,0,True,1,150701
2,2,True,3,036042
0,0,True,2,117214
0,0,True,0,3827331
2,2,True,0,81545
0,0,True,0,5339122
0,0,True,0,3845601
2,2,True,3,550838
0,0,True,5,902887
0,2,False,0,2672482
2,0,False,2,967561
0,2,False,0,283823
0,0,True,2,482965
2,2,True,0,2010951
0,2,False,0,150089
0,2,False,0,516407
2,2,True,2,500802
0,0,True,0,049932
0,0,True,0,1333869
2,2,True,0,165282
0,0,True,0,06695604
0,0,True,0,133261
2,2,True,4,001108
0,0,True,0,216676
0,0,True,1,50079
2,2,True,1,867217
0,0,True,1,033338
0,0,True,0,01722407
2,2,True,0,03359008
0,0,True,0,183742
0,0,True,0,1670718
2,2,True,0,967598
0,0,True,0,4828792
0,0,True,0,4673109
2,2,True,1,066915
0,0,True,0,1162338
0,0,True,0,3672781
2,2,True,0,7832351
0,0,True,0,5002179
0,0,True,0
