playerAlias,
gender,M
age,
education,Fundamental Completo
destro,D
totalPlays,40
totalCorrect,33
successRate,0,9
playId,,8112016,124657
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,2,True,1,849289
0,0,True,0,03385496
0,2,False,1,516813
1,2,False,1,366975
0,2,False,3,882517
2,0,False,1,033235
2,0,False,1,183427
1,2,False,31,84993
0,0,True,5,68285
2,2,True,0,7499449
2,2,True,0,3333392
1,1,True,1,817323
0,0,True,5,232846
2,2,True,0,383285
2,2,True,0,03292179
1,1,True,0,2665482
0,0,True,1,850184
2,2,True,2,1497
2,2,True,0,1333749
1,1,True,4,899648
0,0,True,16,3171
2,2,True,0,3667231
2,2,True,0,7004609
1,1,True,2,849279
0,0,True,0,3665571
2,2,True,23,60028
2,2,True,3,433124
1,1,True,1,350463
0,0,True,1,166508
2,2,True,0,5829859
2,2,True,0,267206
1,1,True,0,3835061
0,0,True,0,7330642
2,0,False,0,332968
2,2,True,0,2331741
1,1,True,0,9660828
0,0,True,3,667099
2,2,True,11,79895
2,2,True,5,816669
1,1,True,1,550368
