playerAlias,Fratel
gender,M
age,18
education,Superior Incompleto
destro,C
totalPlays,40
totalCorrect,24
successRate,1
playId,Fratel,8112016,124819
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,2,466436
2,2,True,2,032558
2,1,False,3,366384
1,1,True,1,49922
0,0,True,2,632295
2,0,False,2,799207
2,1,False,1,399942
1,0,False,12,5327
0,2,False,1,666624
2,1,False,1,149572
2,0,False,2,733067
1,0,False,1,649208
0,2,False,1,882635
2,1,False,1,682464
2,1,False,1,216968
1,2,False,1,749931
0,1,False,1,116117
2,0,False,1,26667
2,2,True,4,48253
1,1,True,2,783334
0,0,True,3,116985
2,2,True,2,765998
2,1,False,3,001005
1,1,True,2,668044
0,0,True,2,999985
2,2,True,1,966866
2,2,True,2,299206
1,1,True,2,81664
0,0,True,3,050388
2,2,True,6,565512
2,2,True,15,51598
1,1,True,2,100149
0,0,True,2,817119
2,2,True,2,116382
2,2,True,2,799033
1,1,True,2,299318
0,0,True,2,816053
2,2,True,1,616448
2,2,True,2,598999
1,1,True,2,932737
