playerAlias,
gender,M
age,
education,Superior Incompleto
destro,D
totalPlays,30
totalCorrect,25
successRate,0,9
playId,,8112016,124912
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,2,216869
2,2,True,0,7837291
2,2,True,0,6338301
1,2,False,0,3162298
0,0,True,1,884832
2,0,False,1,383996
2,2,True,0,5838001
1,2,False,0,550487
0,0,True,2,234991
2,2,True,5,834635
2,2,True,1,566727
1,1,True,0,7320142
0,0,True,20,85688
2,2,True,0,966563
2,2,True,0,7837238
1,1,True,2,33437
0,0,True,1,784221
2,2,True,4,001947
2,2,True,1,901808
1,1,True,2,049808
0,0,True,3,135468
2,2,True,2,083831
2,2,True,1,566109
1,2,False,0,9166009
0,0,True,1,734419
2,2,True,4,618221
2,2,True,0,300117
1,1,True,1,149787
0,0,True,1,750237
2,2,True,3,736524
