playerAlias,Roberto
gender,M
age,22
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,56
successRate,1
playId,Roberto,8112016,12497
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,4,664642
2,2,True,1,666021
0,1,False,2,100119
0,2,False,2,899969
2,2,True,3,333205
0,0,True,2,683055
0,0,True,0,633286
2,2,True,0,2997642
0,0,True,5,515298
0,2,False,0,3498108
2,2,True,4,198294
0,0,True,0,3657219
0,0,True,0
2,2,True,0,2997651
0,0,True,1,749873
0,0,True,0,366838
2,2,True,0,382463
0,0,True,0,333513
0,0,True,0,332993
2,2,True,0,2673678
0,0,True,0,8000579
0,0,True,0,3997641
2,2,True,0,2828319
0,0,True,0,3164611
0,0,True,0,3160532
2,2,True,0,30039
0,0,True,0,4330919
0,0,True,0,2835159
2,2,True,0,349386
0,0,True,0,4826169
0,0,True,0,3324189
2,2,True,0,3665819
0,0,True,0,4665251
0,0,True,0,316139
2,2,True,1,016442
0,0,True,0,51771
0,0,True,0,334096
2,2,True,0,333482
0,0,True,0,383512
0,0,True,0,48385
2,2,True,0,466712
0,0,True,0,5504661
0,0,True,0,4667511
2,2,True,0,6333108
0,0,True,0,3503871
0,0,True,0,3670049
2,2,True,0,4498649
0,0,True,1,249437
0,0,True,0,3828728
2,2,True,0,367825
0,0,True,0,333338
0,0,True,0,3670242
2,2,True,0,4166179
0,0,True,0,4181499
0,0,True,0,3171558
2,2,True,0,399101
0,0,True,0,3669021
0,0,True,0,3333211
2,2,True,0,317028
0,0,True,0,6164341
