playerAlias,Enrico
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,49
successRate,1
playId,Enrico,8112016,12498
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
1,1,True,3,996856
0,1,False,0,8164952
2,0,False,0,683424
0,1,False,0,9650278
0,2,False,1,748756
2,1,False,4,034069
0,0,True,1,948476
0,1,False,7,565615
2,2,True,4,032368
0,1,False,2,382859
0,0,True,0,9834499
2,2,True,3,816162
0,2,False,3,316203
0,2,False,7,183323
2,2,True,0,7166562
0,2,False,0,9834819
0,0,True,0,966584
2,2,True,3,316111
0,2,False,0,831367
0,0,True,1,083039
2,2,True,5,832751
0,0,True,2,816613
0,0,True,20,4329
2,2,True,3,899951
0,0,True,2,284646
0,0,True,2,533277
2,2,True,3,01738
0,0,True,3,433425
0,0,True,2,799623
2,2,True,2,616038
0,0,True,43,18164
0,0,True,3,849507
2,2,True,73,39792
0,0,True,3,050049
0,0,True,3,61682
2,2,True,4,368155
0,0,True,3,200365
0,0,True,15,98234
2,2,True,2,832736
0,0,True,42,46485
0,0,True,7,132885
2,2,True,3,533788
0,0,True,7,032709
0,0,True,48,69891
2,2,True,17,66466
0,0,True,3,683137
0,0,True,2,41694
2,2,True,3,132353
0,0,True,2,96593
0,0,True,3,149267
2,2,True,3,43265
0,0,True,4,049405
0,0,True,8,916736
2,2,True,6,71665
0,0,True,2,301029
0,0,True,1,950175
2,2,True,2,783319
0,0,True,2,98338
0,0,True,3,134248
2,2,True,3,93347
