playerAlias,
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,18
successRate,0,9
playId,,8112016,125040
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,1,False,2,833542
0,0,True,1,815164
0,1,False,3,832416
1,2,False,7,099874
0,1,False,1,549502
2,0,False,3,883129
2,0,False,1,583186
1,0,False,4,699765
0,1,False,1,03403
2,0,False,0,9155309
2,2,True,1,067345
1,0,False,3,949948
0,1,False,1,732366
2,0,False,1,048848
2,2,True,2,348725
1,1,True,2,166393
0,2,False,0,783195
2,0,False,2,100612
2,2,True,0,5172281
1,1,True,4,332007
0,2,False,2,74967
2,1,False,1,315357
2,2,True,4,349314
1,2,False,2,999711
0,1,False,1,099493
2,0,False,1,165701
2,2,True,0,9666319
1,2,False,5,200211
0,2,False,0,93257
2,2,True,0,733587
2,2,True,0,7662609
1,1,True,2,618189
0,2,False,2,934434
2,2,True,0,4835739
2,2,True,2,149903
1,1,True,2,716871
0,0,True,1,983057
2,2,True,2,617576
2,2,True,0,7332799
1,1,True,2,816257
