playerAlias,
gender,M
age,
education,Fundamental Completo
destro,D
totalPlays,47
totalCorrect,41
successRate,1
playId,,8112016,125144
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,2,432029
2,2,True,10,18339
0,1,False,1,316506
0,2,False,2,817579
2,2,True,0,949548
0,0,True,0,4331889
0,0,True,0,8004692
2,2,True,0,4162822
0,0,True,0,3004711
0,0,True,3,133081
2,2,True,0,399581
0,0,True,0,4500558
0,0,True,0,5002019
2,2,True,0,6333811
0,0,True,1,100102
0,2,False,0,05064893
2,1,False,0,9329371
0,0,True,3,949887
0,0,True,0,41732
2,2,True,0,8000071
0,2,False,0,3671851
0,0,True,0
2,2,True,0,3829508
0,0,True,0,7167962
0,0,True,0,166661
2,2,True,7,883204
0,0,True,0,2669599
0,0,True,5,950285
2,2,True,1,416342
0,0,True,1,28233
0,0,True,0,3171339
2,2,True,0,7500041
0,0,True,0,01608801
0,0,True,0,299665
2,2,True,0,350189
0,0,True,0,1834321
0,2,False,1,083854
2,2,True,0,4662571
0,0,True,0,36622
0,0,True,0,8003559
2,2,True,0,5998468
0,0,True,0,349941
0,0,True,0,7504618
2,2,True,5,50067
0,0,True,1,050608
0,0,True,2,749482
2,2,True,64,63236
