playerAlias,dessa
gender,F
age,27
education,Superior Completo
destro,D
totalPlays,28
totalCorrect,25
successRate,1
playId,dessa,8112016,125235
stageID,nivel1-v1
resultInt,optionChosenInt,correct, time
0,2,False,3,117838
2,2,True,3,534547
1,2,False,4,034823
0,0,True,1,233871
2,2,True,3,684957
1,2,False,2,91768
0,0,True,1,434122
2,2,True,2,951104
1,1,True,2,684433
0,0,True,3,084795
2,2,True,3,301571
1,1,True,2,267654
0,0,True,2,901371
2,2,True,3,085088
1,1,True,2,583898
0,0,True,2,951214
2,2,True,4,668926
1,1,True,4,902009
0,0,True,2,884677
2,2,True,2,73463
1,1,True,3,001207
0,0,True,3,818407
2,2,True,4,667683
1,1,True,3,3346
0,0,True,6,285757
2,2,True,5,101984
1,1,True,2,484381
0,0,True,3,068038
