playerAlias,Kelvinsl
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,31
successRate,0,9
playId,Kelvinsl,8112016,125246
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,215522
2,2,True,0,9999719
2,1,False,2,366775
1,2,False,1,817842
0,0,True,7,066585
2,0,False,0,8329811
2,2,True,2,899332
1,1,True,4,383087
0,1,False,7,366843
2,0,False,2,784192
2,2,True,0,866246
1,1,True,2,066126
0,2,False,5,548795
2,2,True,2,033422
2,2,True,2,083039
1,1,True,2,300923
0,1,False,2,900768
2,2,True,1,133643
2,2,True,2,849956
1,1,True,2,716731
0,0,True,2,916744
2,2,True,3,100035
2,2,True,2,566051
1,1,True,2,384497
0,0,True,3,616442
2,2,True,2,316441
2,2,True,2,616019
1,1,True,3,099767
0,0,True,2,483278
2,2,True,3,116089
2,2,True,3,132279
1,1,True,3,00047
0,0,True,2,315298
2,2,True,2,531911
2,2,True,3,598426
1,1,True,2,383098
0,0,True,2,833165
2,0,False,2,900842
2,2,True,4,016095
1,1,True,2,783267
