playerAlias,
gender,M
age,
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,54
successRate,1
playId,,8112016,125618
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,7,637362
2,1,False,1,783329
0,1,False,0,466779
0,1,False,0,699326
2,1,False,5,402065
0,0,True,7,586184
0,0,True,16,82318
2,2,True,2,767371
0,0,True,2,20088
0,0,True,4,151777
2,2,True,2,218084
0,0,True,5,819008
0,0,True,2,685042
2,2,True,2,984203
0,0,True,3,051982
0,0,True,3,334425
2,2,True,5,134879
0,0,True,2,867945
0,0,True,3,38465
2,2,True,2,934179
0,0,True,3,118474
0,0,True,3,218165
2,2,True,3,301411
0,0,True,2,63481
0,0,True,3,351909
2,0,False,2,616489
0,0,True,2,033366
0,0,True,2,533606
2,2,True,2,684362
0,0,True,2,251029
0,0,True,3,250771
2,2,True,2,751018
0,0,True,2,017274
0,0,True,2,000705
2,2,True,2,666768
0,0,True,2,48457
0,0,True,2,600872
2,2,True,4,135067
0,0,True,2,71765
0,0,True,2,033614
2,2,True,2,217746
0,0,True,2,584084
0,0,True,3,051503
2,2,True,2,618214
0,0,True,2,184299
0,0,True,2,367291
2,2,True,2,767351
0,0,True,4,60258
0,0,True,2,833732
2,2,True,2,867336
0,0,True,3,284997
0,0,True,1,883655
2,2,True,3,035208
0,0,True,2,117599
0,0,True,2,434688
2,2,True,3,234481
0,0,True,2,98373
0,0,True,3,200451
2,2,True,2,651111
0,0,True,3,717611
