playerAlias,dessacqr
gender,F
age,27
education,Superior Completo
destro,D
totalPlays,40
totalCorrect,30
successRate,1
playId,dessacqr,8112016,1308
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,2,True,9,220363
0,2,False,2,451472
0,2,False,1,367327
1,2,False,1,249947
0,2,False,1,05074
2,0,False,0,6834779
2,0,False,1,433695
1,0,False,1,067208
0,0,True,2,252095
2,0,False,2,784707
2,1,False,4,151728
1,1,True,2,334427
0,0,True,3,034544
2,0,False,0,7837999
2,2,True,1,366484
1,1,True,2,718163
0,0,True,2,401456
2,2,True,2,63446
2,2,True,0,533432
1,1,True,2,718635
0,0,True,2,7342
2,2,True,0,850456
2,2,True,5,753458
1,1,True,0,4503429
0,0,True,2,367668
2,2,True,2,367873
2,2,True,2,617762
1,1,True,2,867234
0,0,True,2,550832
2,2,True,2,501203
2,2,True,3,051609
1,1,True,2,967821
0,0,True,2,150948
2,2,True,2,46776
2,2,True,1,484014
1,1,True,2,601628
0,0,True,2,767875
2,2,True,2,217502
2,2,True,0,8333008
1,1,True,2,817625
