playerAlias,rojas
gender,M
age,29
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,55
successRate,0,9
playId,rojas,8112016,131144
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,12,42412
2,1,False,2,831501
0,1,False,1,882402
0,1,False,3,933311
2,2,True,2,583465
0,0,True,7,550035
0,0,True,3,149149
2,0,False,6,648737
0,0,True,4,816028
0,0,True,2,132877
2,2,True,3,016618
0,0,True,2,582406
0,0,True,2,466223
2,2,True,3,182656
0,0,True,2,448841
0,0,True,3,183678
2,2,True,2,882597
0,0,True,3,54963
0,0,True,2,666532
2,2,True,3,883826
0,0,True,2,25025
0,0,True,1,883203
2,2,True,2,266613
0,0,True,2,183002
0,0,True,2,499961
2,2,True,5,150478
0,0,True,9,100275
0,0,True,3,349749
2,2,True,2,7323
0,0,True,3,165792
0,0,True,5,516261
2,2,True,3,432963
0,0,True,3,465846
0,0,True,3,266284
2,2,True,2,798748
0,0,True,2,666539
0,0,True,2,533508
2,2,True,2,86657
0,0,True,4,449519
0,0,True,3,683423
2,2,True,2,666057
0,0,True,3,466855
0,0,True,2,616207
2,2,True,2,433577
0,0,True,2,366614
0,0,True,3,115494
2,2,True,2,399328
0,0,True,2,750199
0,0,True,2,216279
2,2,True,3,534184
0,0,True,2,683127
0,0,True,3,233363
2,2,True,3,78271
0,0,True,8,265443
0,0,True,48,94801
2,0,False,2,383994
0,0,True,1,665799
0,0,True,1,950568
2,2,True,2,214925
0,0,True,2,233145
