playerAlias,Lasso
gender,M
age,19
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,55
successRate,1
playId,Lasso,8112016,131149
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,25,9134
2,1,False,2,649143
0,1,False,0,7495191
0,1,False,3,766367
2,2,True,4,615839
0,0,True,6,966755
0,0,True,3,983752
2,2,True,0,7996972
0,0,True,2,300268
0,0,True,4,433321
2,2,True,1,116537
0,0,True,2,782445
0,0,True,2,382907
2,2,True,4,01612
0,0,True,4,883081
0,0,True,10,79941
2,2,True,5,066698
0,0,True,4,882924
0,0,True,6,599958
2,2,True,6,949226
0,0,True,3,6337
0,2,False,3,549963
2,2,True,4,666536
0,0,True,2,749282
0,0,True,3,066669
2,2,True,39,44879
0,0,True,3,982664
0,0,True,0,633539
2,2,True,0,566926
0,0,True,0,4999011
0,0,True,0,4825521
2,2,True,2,96679
0,0,True,3,616345
0,0,True,2,549177
2,2,True,2,099503
0,0,True,2,067392
0,0,True,4,199572
2,2,True,2,833381
0,0,True,2,399393
0,0,True,2,000058
2,2,True,14,51561
0,0,True,3,183086
0,0,True,0,466974
2,2,True,2,233304
0,0,True,22,53337
0,0,True,27,31519
2,2,True,3,349683
0,0,True,2,200039
0,0,True,3,115891
2,2,True,2,249436
0,0,True,2,500267
0,0,True,3,29932
2,2,True,0,6830139
0,0,True,0,4830122
0,0,True,0,4828279
2,2,True,0,4336879
0,0,True,0,4004629
0,0,True,0,299031
2,2,True,0,5001528
0,0,True,1,93296
