playerAlias,Brenda
gender,F
age,21
education,Superior Incompleto
destro,D
totalPlays,28
totalCorrect,19
successRate,1
playId,Brenda,8112016,13115
stageID,nivel4-v1
resultInt,optionChosenInt,correct, time
0,2,False,3,598073
2,0,False,0,749681
1,1,True,0,867029
0,2,False,0,7834299
2,2,True,0,4005239
1,1,True,1,116309
0,0,True,1,650012
2,0,False,0,3674481
1,0,False,0,3666308
0,1,False,0,2998729
2,2,True,0,183511
1,2,False,0,866864
0,1,False,1,199372
2,2,True,0,7832501
1,0,False,0,416373
0,0,True,0,2328329
2,2,True,0,6682189
1,1,True,0,533782
0,0,True,0,416151
2,2,True,0,3015249
1,1,True,0,749902
0,0,True,0,682611
2,2,True,0,449259
1,1,True,0,681705
0,0,True,0,6666279
2,2,True,0,2671251
1,1,True,0,3664479
0,0,True,2,532505
