playerAlias,Murilo
gender,M
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,31
successRate,1
playId,Murilo,8112016,131226
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,6,517548
2,2,True,2,566165
2,0,False,3,016864
1,2,False,0,966608
0,1,False,1,050262
2,0,False,1,716135
2,1,False,2,632548
1,2,False,0,8839562
0,0,True,5,749993
2,2,True,3,31563
2,2,True,2,931555
1,2,False,4,049882
0,0,True,2,632303
2,2,True,3,632534
2,2,True,3,516332
1,1,True,2,950995
0,0,True,2,849915
2,2,True,3,699096
2,2,True,3,533365
1,0,False,4,832547
0,0,True,2,582869
2,2,True,1,066542
2,2,True,0,499917
1,1,True,3,549363
0,0,True,2,899163
2,2,True,1,266752
2,2,True,0,849179
1,1,True,3,817303
0,0,True,3,682748
2,2,True,4,098891
2,2,True,3,833854
1,1,True,25,16612
0,0,True,16,96581
2,2,True,4,566621
2,2,True,1,066464
1,1,True,2,98365
0,0,True,2,699255
2,2,True,1,483742
2,2,True,3,565606
1,1,True,7,083127
