playerAlias,keko
gender,M
age,18
education,Superior Incompleto
destro,C
totalPlays,60
totalCorrect,53
successRate,1
playId,keko,8112016,13126
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,10,83922
2,1,False,1,05048
0,1,False,1,149593
0,2,False,1,433053
2,0,False,6,933114
0,0,True,10,21649
0,1,False,2,382812
2,2,True,2,316981
0,0,True,9,766557
0,0,True,3,666653
2,2,True,12,79977
0,0,True,49,46616
0,0,True,24,58345
2,2,True,2,833257
0,0,True,2,383145
0,0,True,0,9329062
2,2,True,2,533252
0,0,True,7,833184
0,0,True,3,133199
2,2,True,3,366548
0,0,True,5,233288
0,0,True,41,54914
2,2,True,2,033718
0,0,True,2,799427
0,0,True,2,517223
2,2,True,3,666617
0,0,True,2,399537
0,0,True,10,26604
2,2,True,1,400346
0,0,True,3,633633
0,2,False,2,983439
2,2,True,2,967153
0,0,True,2,433238
0,0,True,9,733114
2,2,True,2,849739
0,0,True,6,082555
0,0,True,0,3837729
2,2,True,3,116002
0,0,True,2,650304
0,0,True,2,616008
2,2,True,3,200075
0,0,True,2,149753
0,0,True,1,983312
2,2,True,4,299812
0,0,True,3,116044
0,0,True,3,882922
2,2,True,2,065757
0,0,True,3,649758
0,0,True,0,6994939
2,2,True,2,515881
0,0,True,2,484177
0,0,True,4,566571
2,2,True,3,683333
0,0,True,2,199274
0,0,True,2,18306
2,2,True,1,966698
0,0,True,3,666737
0,0,True,3,233128
2,2,True,2,799957
0,0,True,4,416255
