playerAlias,Internauta P﹑﹑os-brasileiro﹒
gender,M
age,24
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,54
successRate,1
playId,Internauta P﹑﹑os-brasileiro﹒,8112016,131517
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,8,762826
2,1,False,0,3497789
0,1,False,0,14977
0,2,False,1,232947
2,2,True,0,7008739
0,0,True,2,732608
0,2,False,3,899553
2,0,False,9,049579
0,0,True,2,94984
0,0,True,0,566649
2,2,True,2,033439
0,0,True,2,300141
0,0,True,1,999056
2,2,True,0,7333238
0,0,True,5,082561
0,0,True,0,4667981
2,2,True,1,96624
0,0,True,2,283033
0,0,True,6,516727
2,2,True,0,500423
0,0,True,2,482886
0,0,True,0,383009
2,2,True,0,583231
0,0,True,2,400065
0,0,True,3,149866
2,2,True,0,7337821
0,0,True,2,73283
0,0,True,0,399744
2,2,True,2,516937
0,0,True,0,650281
0,0,True,3,283168
2,2,True,0,6169579
0,0,True,2,599834
0,0,True,2,016748
2,2,True,15,48272
0,0,True,0,2988698
0,0,True,3,750641
2,2,True,0,582124
0,0,True,2,750065
0,0,True,0,3330121
2,2,True,2,465991
0,0,True,2,383578
0,0,True,6,315349
2,2,True,0,5166008
0,0,True,0,4835591
0,0,True,0,1510251
2,2,True,2,183037
0,0,True,0,09938979
0,0,True,0,1494489
2,2,True,0,2498879
0,0,True,0,6166151
0,0,True,0,267426
2,2,True,2,816234
0,0,True,0,3659189
0,0,True,2,9503
2,2,True,0,1498759
0,0,True,0,3671851
0,0,True,0,2163181
2,2,True,0,7674279
0,0,True,0,133497
