playerAlias,RodrigoPM
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,25
successRate,1
playId,RodrigoPM,8112016,131536
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,3,015624
0,2,False,2,150311
0,1,False,1,165447
1,2,False,1,434208
0,1,False,1,815876
2,0,False,3,865616
2,0,False,4,932576
1,0,False,2,56664
0,0,True,2,250495
2,0,False,0,7665861
2,2,True,3,715485
1,0,False,2,96518
0,1,False,1,566651
2,2,True,1,133058
2,0,False,4,150256
1,0,False,10,98353
0,0,True,1,366554
2,0,False,7,782123
2,1,False,16,43233
1,1,True,5,866765
0,0,True,3,184429
2,2,True,3,865741
2,2,True,4,148974
1,1,True,4,232561
0,0,True,4,882116
2,2,True,4,483028
2,2,True,0,7167699
1,1,True,3,034559
0,0,True,2,584128
2,2,True,2,832426
2,2,True,2,883049
1,1,True,2,234013
0,0,True,2,698877
2,2,True,3,03323
2,2,True,0,700814
1,1,True,3,249736
0,0,True,2,416285
2,2,True,2,766582
2,2,True,2,266322
1,1,True,2,699914
