playerAlias,
gender,M
age,70
education,Superior Completo
destro,D
totalPlays,40
totalCorrect,9
successRate,0,2
playId,,8112016,131541
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,7,517158
2,0,False,3,949441
2,2,True,1,165902
1,2,False,0,9992368
0,2,False,1,36623
2,1,False,2,649903
2,0,False,4,867623
1,2,False,6,283404
0,2,False,4,617241
2,2,True,0,9498451
2,2,True,2,950127
1,0,False,3,299039
0,0,True,1,399605
2,1,False,27,83376
2,1,False,0,6996548
1,1,True,0,9323189
0,1,False,4,516082
2,1,False,1,366245
2,2,True,1,349451
1,2,False,1,367017
0,1,False,0,933238
2,1,False,3,866556
2,1,False,1,084341
1,2,False,0,9001849
0,1,False,0,8151791
2,1,False,1,216754
2,2,True,1,066422
1,2,False,4,100423
0,1,False,2,266812
2,1,False,1,383153
2,0,False,2,250289
1,0,False,1,016584
0,0,True,1,066728
2,1,False,4,733082
2,2,True,4,399743
1,2,False,1,450641
0,1,False,1,083648
2,1,False,1,283001
2,1,False,1,017304
1,0,False,1,816235
