playerAlias,
gender,F
age,20
education,Fundamental Completo
destro,D
totalPlays,40
totalCorrect,36
successRate,0,9
playId,,8112016,131544
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,2,True,3,700953
2,2,True,4,299954
2,0,False,3,200032
1,2,False,1,715871
0,1,False,4,065595
2,2,True,4,399631
2,2,True,2,36685
1,1,True,3,116611
0,0,True,3,050046
2,2,True,3,166734
2,2,True,0,9335279
1,1,True,0,6663151
0,0,True,0,584012
2,2,True,2,716683
2,2,True,0,733521
1,1,True,3,283194
0,0,True,3,399657
2,2,True,3,867049
2,2,True,2,699767
1,1,True,3,016236
0,0,True,2,749592
2,2,True,3,433835
2,2,True,2,966599
1,1,True,3,783486
0,0,True,3,966988
2,2,True,2,882773
2,2,True,3,100195
1,1,True,2,916874
0,0,True,4,933038
2,2,True,3,716729
2,2,True,0,4998081
1,1,True,0,382848
0,0,True,2,016327
2,2,True,0,9494271
2,2,True,0,382453
1,1,True,2,317041
0,0,True,2,550373
2,2,True,0,616915
2,1,False,0,683012
1,1,True,1,83331
