playerAlias,Tete
gender,M
age,19
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,20
successRate,0,5
playId,Tete,8112016,13156
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,2,True,13,83338
2,2,True,1,466413
2,1,False,2,68443
1,1,True,2,883143
0,2,False,2,816026
2,1,False,0,367095
2,2,True,0,548527
1,0,False,1,333496
0,1,False,0,781883
2,2,True,1,383283
2,2,True,2,050051
1,2,False,2,184213
0,0,True,0,3151128
2,0,False,0,966079
2,0,False,0,5494988
1,2,False,0,250278
0,2,False,0,6500702
2,2,True,0,2997758
2,2,True,1,316634
1,2,False,0,7177529
0,1,False,0,9502509
2,2,True,1,366675
2,2,True,2,484214
1,2,False,0,6174829
0,1,False,1,234297
2,2,True,0,6990249
2,2,True,0,9668932
1,0,False,0,883754
0,0,True,0,4158399
2,2,True,0,6332881
2,2,True,0,7342899
1,1,True,0,482604
0,0,True,1,1166
2,1,False,1,616441
2,2,True,1,016004
1,2,False,2,915468
0,1,False,2,067854
2,2,True,2,46633
2,1,False,0,965194
1,2,False,0,400281
