playerAlias,Borto
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,33
successRate,1
playId,Borto,8112016,131734
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,4,034436
2,0,False,2,651073
2,1,False,4,735399
1,2,False,1,5334
0,1,False,2,284804
2,0,False,1,583267
2,2,True,2,167633
1,2,False,2,750383
0,0,True,2,6844
2,2,True,6,202798
2,2,True,3,002396
1,1,True,2,551022
0,0,True,7,952314
2,2,True,2,600792
2,2,True,3,984649
1,1,True,4,117777
0,0,True,3,151123
2,2,True,2,334343
2,2,True,1,284783
1,1,True,2,950926
0,0,True,5,402618
2,2,True,5,536129
2,2,True,8,802949
1,1,True,2,918042
0,0,True,4,384577
2,2,True,2,967825
2,2,True,3,017176
1,1,True,5,018309
0,0,True,4,001741
2,2,True,3,451336
2,2,True,3,033389
1,1,True,3,334862
0,0,True,4,718275
2,2,True,3,300808
2,2,True,5,468412
1,1,True,3,200531
0,0,True,3,701446
2,2,True,2,98534
2,2,True,5,002183
1,1,True,9,88599
