playerAlias,Tete
gender,M
age,19
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,49
successRate,1
playId,Tete,8112016,131858
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,2,463988
2,1,False,0,534503
0,0,True,0,4008031
0,1,False,1,000806
2,0,False,0,566844
0,0,True,0,1989479
0,1,False,5,71628
2,1,False,0,6668692
0,1,False,0,6845951
0,0,True,0,5000961
2,0,False,0,266942
0,0,True,0,1334519
0,0,True,0,199692
2,0,False,0,4334531
0,0,True,0,03306699
0,0,True,0,3166602
2,0,False,0,04968905
0,0,True,0,1826849
0,0,True,0,01666307
2,0,False,0,333765
0,0,True,0,03300786
0,0,True,0,04987717
2,2,True,0,117955
0,0,True,0,483355
0,0,True,0,1320379
2,2,True,0,1511741
0,0,True,0,05003095
0,0,True,0,06678009
2,2,True,0,08355093
0,0,True,0,4506261
0,0,True,0
2,2,True,0
0,0,True,0,1998539
0,0,True,0,2674661
2,2,True,0,5997071
0,0,True,0,2999799
0,0,True,0,266808
2,2,True,0,09875798
0,0,True,0,1662102
0,0,True,0,4846601
2,2,True,0,26704
0,0,True,0,09980106
0,0,True,0,3161449
2,2,True,0,3169479
0,0,True,0
0,0,True,0,2328398
2,2,True,0,1663761
0,0,True,0,2996202
0,0,True,0,033216
2,2,True,0,1833751
0,0,True,0,4995451
0,0,True,0,1832001
2,2,True,0,03308511
0,0,True,0,1500361
0,0,True,0,1177058
2,2,True,0,250211
0,0,True,0,08517385
0,0,True,0,117058
2,2,True,0,7842429
0,0,True,0,03306794
