playerAlias,
gender,F
age,
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,50
successRate,1
playId,,8112016,132040
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,12,81073
2,1,False,3,116916
0,2,False,4,584071
0,1,False,3,417293
2,2,True,5,949972
0,1,False,13,68246
0,1,False,14,01677
2,2,True,5,000279
0,0,True,25,56577
0,0,True,2,516025
2,2,True,0,7667758
0,0,True,5,765998
0,2,False,4,816552
2,0,False,13,43178
0,0,True,20,58265
0,0,True,13,46588
2,2,True,3,515749
0,0,True,5,516853
0,2,False,2,450528
2,2,True,23,08294
0,0,True,2,399048
0,0,True,0,666646
2,2,True,2,317613
0,0,True,2,749848
0,2,False,1,701085
2,2,True,29,79944
0,0,True,19,4498
0,0,True,2,68419
2,2,True,1,917025
0,0,True,2,699818
0,0,True,6,215699
2,2,True,1,614808
0,0,True,6,683172
0,0,True,2,815709
2,2,True,1,349191
0,0,True,2,083436
0,0,True,1,81666
2,2,True,6,01588
0,0,True,1,30023
0,0,True,0
2,2,True,2,800129
0,0,True,0,5831711
0,0,True,0,3834021
2,2,True,3,699967
0,0,True,0,5334561
0,0,True,4,25047
2,2,True,0,6002772
0,0,True,4,116393
0,0,True,2,500977
2,2,True,0,433111
0,0,True,0,466624
0,0,True,0,466234
2,2,True,0,45052
0,0,True,0,2169921
0,0,True,0,1825049
2,2,True,2,251346
0,0,True,0,433012
0,0,True,1,015388
2,2,True,2,966948
0,0,True,0,433816
