playerAlias,
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,43
totalCorrect,39
successRate,1
playId,,8112016,132045
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,3,497157
2,1,False,2,399944
0,0,True,1,299421
0,2,False,1,400039
2,2,True,4,050122
0,2,False,31,28317
0,0,True,3,30015
2,2,True,10,76626
0,0,True,1,38323
0,0,True,0,8339698
2,2,True,0,4504049
0,0,True,0,4334221
0,0,True,0,882643
2,2,True,1,400261
0,0,True,0,916424
0,0,True,0,4170642
2,2,True,0,400666
0,0,True,1,867232
0,0,True,0,3998392
2,2,True,0,816817
0,0,True,0,466152
0,0,True,0,300437
2,2,True,0,3161628
0,0,True,1,300458
0,0,True,0,2993009
2,2,True,0,5832748
0,0,True,0,5668061
0,0,True,0,333369
2,2,True,0,834084
0,0,True,1,049658
0,0,True,0,299984
2,2,True,0,3330262
0,0,True,0,566565
0,0,True,0,350107
2,2,True,0,3167901
0,0,True,1,1006
0,0,True,0,4660621
2,2,True,0,382261
0,0,True,3,283886
0,0,True,0,3667321
2,2,True,0,350234
0,0,True,0,782321
0,0,True,0,416383
