playerAlias,RodrigoPM
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,32
successRate,0,9
playId,RodrigoPM,8112016,132046
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,4,99426
2,1,False,0,817142
0,1,False,0,867269
0,1,False,0,6494071
2,1,False,0,5003121
0,1,False,0,9670079
0,0,True,8,333704
2,2,True,0,615607
0,0,True,5,048804
0,0,True,27,94845
2,2,True,2,316222
0,0,True,2,382389
0,0,True,21,43184
2,2,True,2,915
0,0,True,0,6335599
0,0,True,2,783082
2,2,True,0,432796
0,0,True,2,416299
0,0,True,0,533498
2,2,True,0,6335199
0,0,True,0,4661019
0,0,True,2,832064
2,2,True,0,8000979
0,2,False,7,049603
0,0,True,1,41664
2,2,True,0,7001412
0,0,True,7,116197
0,0,True,2,116598
2,2,True,2,067575
0,0,True,3,083652
0,0,True,2,233207
2,0,False,17,99993
0,0,True,20,58396
0,0,True,4,382466
2,2,True,0,750093
0,0,True,2,949338
0,0,True,3,533476
2,2,True,6,166052
0,0,True,2,699857
0,0,True,4,282905
