playerAlias,
gender,F
age,20
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,47
successRate,1
playId,,8112016,13211
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,3,979216
2,1,False,4,66622
0,1,False,0,716655
0,2,False,1,333782
2,0,False,2,76651
0,0,True,1,616575
0,2,False,2,248781
2,2,True,1,666075
0,2,False,2,182828
0,2,False,5,149893
2,0,False,2,066731
0,2,False,1,117858
0,0,True,4,031966
2,0,False,2,265445
0,0,True,1,216737
0,2,False,1,450026
2,2,True,0,916131
0,0,True,2,499428
0,0,True,2,149941
2,2,True,2,116398
0,0,True,2,099592
0,0,True,1,899427
2,2,True,0,7497962
0,0,True,3,866533
0,0,True,3,600154
2,2,True,0,732759
0,0,True,2,68322
0,0,True,2,700661
2,2,True,2,700009
0,0,True,4,999437
0,2,False,2,100274
2,2,True,0,9494271
0,0,True,3,649272
0,0,True,0,5840762
2,2,True,0,6165309
0,0,True,2,699932
0,0,True,0,6162751
2,2,True,0,6502199
0,0,True,0,9498091
0,0,True,0,849699
2,2,True,0,599936
0,0,True,0,799685
0,0,True,2,166643
2,2,True,0,466929
0,0,True,0,6162288
0,0,True,2,132708
2,2,True,0,5002201
0,0,True,2,648979
0,0,True,2,316573
2,2,True,0,9337401
0,0,True,2,016193
0,0,True,2,3167
2,2,True,0,599767
0,0,True,2,615609
0,0,True,0,599432
2,2,True,0,5166149
0,0,True,2,265798
0,0,True,0,5326471
2,2,True,0,6836469
0,0,True,0,766504
