playerAlias,KAKA
gender,F
age,19
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,30
successRate,1
playId,KAKA,8112016,132523
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,4,336338
0,0,True,18,45688
0,2,False,5,402533
1,2,False,3,584806
0,2,False,6,402361
2,1,False,4,952489
2,0,False,14,0206
1,1,True,7,686078
0,2,False,12,58801
2,0,False,5,502424
2,0,False,0,7167468
1,2,False,1,517197
0,0,True,141,1044
2,2,True,11,97132
2,2,True,1,468251
1,1,True,2,650764
0,0,True,51,10364
2,2,True,2,484083
2,2,True,1,900865
1,1,True,1,500218
0,0,True,2,884691
2,2,True,1,333965
2,2,True,0,9822352
1,1,True,0,8343999
0,0,True,2,751399
2,2,True,2,034802
2,2,True,0,4664299
1,1,True,3,001056
0,0,True,1,801418
2,2,True,1,600527
2,2,True,0,5670152
1,1,True,2,934193
0,0,True,2,734321
2,2,True,0,06635714
2,2,True,0,7675099
1,1,True,5,001081
0,0,True,2,250976
2,2,True,0,950722
2,2,True,0,534095
1,1,True,2,719833
