playerAlias,Ney
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,56
successRate,1
playId,Ney,8112016,132524
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,5,412505
2,0,False,6,515436
0,2,False,3,782956
0,1,False,2,3163
2,2,True,8,215929
0,1,False,2,99956
0,0,True,13,59872
2,2,True,2,566389
0,0,True,2,899772
0,0,True,3,917053
2,2,True,2,099803
0,0,True,2,116597
0,0,True,2,017011
2,2,True,2,333309
0,0,True,3,165891
0,0,True,3,782757
2,2,True,2,250124
0,0,True,2,150913
0,0,True,7,132632
2,2,True,1,899718
0,0,True,2,049449
0,0,True,3,150829
2,2,True,3,067459
0,0,True,4,098894
0,0,True,3,249278
2,2,True,2,483199
0,0,True,3,033199
0,0,True,2,850077
2,2,True,4,649094
0,0,True,2,883283
0,0,True,3,799137
2,2,True,2,083
0,0,True,3,166561
0,0,True,2,265577
2,2,True,3,800033
0,0,True,2,598791
0,0,True,2,582081
2,2,True,2,550375
0,0,True,3,883544
0,0,True,2,549199
2,2,True,2,532714
0,0,True,1,933312
0,0,True,2,982251
2,2,True,2,31696
0,0,True,2,216756
0,0,True,3,182737
2,2,True,2,215797
0,0,True,3,465797
0,0,True,3,166193
2,2,True,3,399493
0,0,True,2,899614
0,0,True,3,099848
2,2,True,3,0007
0,0,True,2,684475
0,0,True,3,14983
2,2,True,3,033114
0,0,True,4,432219
0,0,True,3,632824
2,2,True,2,23334
0,0,True,4,115716
