playerAlias,Ceni
gender,M
age,18
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,56
successRate,1
playId,Ceni,8112016,132547
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,2,559028
2,2,True,0,516077
0,2,False,0,5322449
0,2,False,5,583295
2,2,True,3,799285
0,0,True,0,6672151
0,0,True,1,982399
2,2,True,0,5006199
0,0,True,3,49933
0,2,False,2,315778
2,2,True,3,315884
0,0,True,3,016177
0,0,True,0,6502521
2,2,True,2,249572
0,0,True,2,18393
0,0,True,1,816465
2,2,True,77,14738
0,0,True,2,1162
0,0,True,2,366763
2,2,True,9,833007
0,0,True,2,365744
0,0,True,2,015673
2,2,True,1,948763
0,0,True,2,199669
0,0,True,2,249014
2,2,True,2,14842
0,0,True,1,816235
0,0,True,0,4000659
2,2,True,0,600528
0,0,True,0,6331091
0,0,True,0,3326359
2,2,True,0,5005839
0,0,True,2,216718
0,0,True,0,3665209
2,2,True,0,4670811
0,0,True,0,4990091
0,0,True,0,31674
2,2,True,0,6177142
0,0,True,0,6172838
0,0,True,0,299799
2,2,True,0,7830801
0,2,False,3,150339
0,0,True,4,149193
2,2,True,10,68177
0,0,True,7,382589
0,0,True,2,934217
2,2,True,45,54764
0,0,True,0,6832471
0,0,True,1,867328
2,2,True,0,432956
0,0,True,1,750208
0,0,True,0,315479
2,2,True,0,733386
0,0,True,2,26679
0,0,True,2,199146
2,2,True,2,215941
0,0,True,8,032221
0,0,True,2,183131
2,2,True,2,048574
0,0,True,2,233194
