playerAlias,estrela
gender,M
age,21
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,57
successRate,1
playId,estrela,8112016,132748
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,22,1234
2,0,False,0,5334289
0,0,True,4,383223
0,2,False,2,633152
2,1,False,5,999795
0,0,True,6,666426
0,0,True,0,6500499
2,2,True,0,4165919
0,0,True,0
0,0,True,0,2998202
2,2,True,0,1333191
0,0,True,0,04999018
0,0,True,0,4498839
2,2,True,1,533346
0,0,True,1,966609
0,0,True,6,266559
2,2,True,40,63147
0,0,True,0,1834631
0,0,True,0,283288
2,2,True,0,05002594
0,0,True,0,04990387
0,0,True,0,4500358
2,2,True,0,1001799
0,0,True,0,183413
0,0,True,0,2164819
2,2,True,0,0833149
0,0,True,0,05016494
0,0,True,0,03337002
2,2,True,0,200249
0,0,True,0,05004597
0,0,True,0,38325
2,2,True,0,149857
0,0,True,0,03329611
0,0,True,2,933354
2,2,True,4,59983
0,0,True,0,449928
0,0,True,0,1001949
2,2,True,0,1000831
0,0,True,0,1166449
0,0,True,0,416682
2,2,True,0,01671219
0,0,True,0,2499502
0,0,True,0,2333579
2,2,True,7,133067
0,0,True,0,35007
0,0,True,0,316772
2,2,True,0,266716
0,0,True,0,3167801
0,0,True,0,533488
2,2,True,0,2832429
0,0,True,0,2335541
0,0,True,0,6501789
2,2,True,0,08325911
0,0,True,0,04975486
0,0,True,2,499895
2,2,True,0,04990721
0,0,True,0,283349
0,0,True,0,3334482
2,2,True,0,2333009
0,0,True,0,03334403
