playerAlias,DoubleP
gender,M
age,18
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,55
successRate,1
playId,DoubleP,8112016,132834
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,140,8732
2,2,True,4,666767
0,1,False,3,382841
0,1,False,3,999765
2,1,False,2,0658
0,0,True,33,20035
0,2,False,7,416754
2,2,True,14,41591
0,0,True,9,833648
0,0,True,3,598594
2,2,True,3,6006
0,0,True,3,050328
0,0,True,3,417487
2,2,True,2,1165
0,0,True,2,850172
0,0,True,2,849898
2,2,True,2,616201
0,0,True,2,26713
0,0,True,2,916554
2,2,True,2,483627
0,0,True,2,516961
0,0,True,3,267347
2,2,True,3,58363
0,0,True,8,583631
0,0,True,12,63243
2,2,True,3,018161
0,0,True,3,633115
0,0,True,2,74975
2,2,True,2,633273
0,0,True,2,199576
0,0,True,3,71651
2,2,True,3,401052
0,0,True,1,833309
0,0,True,2,449858
2,2,True,3,467031
0,0,True,3,416271
0,0,True,2,616708
2,2,True,2,800327
0,0,True,2,365098
0,0,True,3,933567
2,2,True,3,066443
0,0,True,2,833111
0,0,True,2,800054
2,2,True,2,616343
0,0,True,2,266022
0,0,True,6,366063
2,2,True,6,232062
0,0,True,5,982739
0,0,True,2,899627
2,2,True,3,049095
0,0,True,3,08406
0,0,True,3,082653
2,2,True,4,916702
0,0,True,2,133467
0,0,True,2,349447
2,2,True,3,116094
0,0,True,3,034239
0,0,True,3,116401
2,2,True,3,899262
0,0,True,3,56675
