playerAlias,ovo
gender,M
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,32
successRate,1
playId,ovo,8112016,13302
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,499688
0,0,True,1,200557
0,1,False,0,8332601
1,2,False,4,799525
0,2,False,6,433233
2,2,True,6,133611
2,0,False,4,500576
1,0,False,1,232788
0,0,True,3,215989
2,0,False,6,182217
2,1,False,6,933091
1,1,True,12,03371
0,0,True,5,667945
2,2,True,2,632464
2,2,True,0,4671211
1,1,True,0,6839271
0,0,True,1,03385
2,2,True,1,217344
2,2,True,0,4845171
1,1,True,0,500366
0,0,True,6,666463
2,2,True,3,749462
2,2,True,2,017083
1,1,True,2,451014
0,0,True,3,467697
2,2,True,0,6501138
2,2,True,0,335165
1,1,True,0,6664159
0,0,True,2,515676
2,2,True,0,5494549
2,2,True,0,6840379
1,1,True,0,5509338
0,0,True,2,9489
2,2,True,0,4167938
2,2,True,2,684046
1,1,True,2,933494
0,0,True,2,783749
2,2,True,2,066131
2,2,True,1,766968
1,1,True,3,133147
