playerAlias,Break
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,34
successRate,1
playId,Break,8112016,133135
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,5,552222
0,0,True,0,550169
0,1,False,2,117597
1,2,False,0,8502409
0,2,False,1,016997
2,2,True,0,949841
2,0,False,0,550209
1,1,True,1,550436
0,2,False,10,38682
2,2,True,0,3167129
2,2,True,0,3000519
1,1,True,0,3169529
0,0,True,0,400053
2,2,True,0,3002369
2,2,True,0,2831011
1,1,True,0,33322
0,0,True,0,332989
2,2,True,0,2996311
2,2,True,1,783854
1,1,True,1,634036
0,0,True,1,250416
2,2,True,1,267241
2,2,True,0,3169351
1,1,True,0,4496529
0,0,True,3,951407
2,2,True,1,967777
2,2,True,25,20986
1,1,True,2,500969
0,0,True,1,450722
2,2,True,0,3663449
2,2,True,0,4168332
1,1,True,2,217637
0,0,True,0,933346
2,2,True,0,6835279
2,2,True,0,333545
1,1,True,1,666731
0,0,True,0,3166931
2,2,True,0,5002489
2,2,True,0,266222
1,1,True,0,349864
