playerAlias,keko
gender,M
age,18
education,Superior Incompleto
destro,C
totalPlays,40
totalCorrect,30
successRate,0,9
playId,keko,8112016,13322
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,2,True,3,666474
0,1,False,2,849505
0,1,False,3,033294
1,2,False,3,550373
0,2,False,3,899435
2,1,False,2,516164
2,2,True,1,749504
1,0,False,7,833091
0,1,False,1,116646
2,0,False,4,767822
2,2,True,4,68371
1,1,True,4,049452
0,2,False,4,700857
2,2,True,2,199544
2,2,True,2,782675
1,1,True,3,399628
0,0,True,3,916515
2,2,True,4,100006
2,2,True,3,21633
1,1,True,3,150275
0,0,True,4,749969
2,2,True,2,333347
2,2,True,3,416479
1,1,True,5,999504
0,0,True,2,833022
2,2,True,2,550094
2,2,True,2,700753
1,1,True,2,616082
0,0,True,7,882764
2,2,True,3,499078
2,2,True,51,96588
1,1,True,16,93308
0,0,True,2,249469
2,2,True,2,516827
2,2,True,2,649984
1,1,True,3,199887
0,2,False,15,56621
2,2,True,2,749749
2,2,True,2,449554
1,1,True,3,249372
