playerAlias,Beca
gender,F
age,20
education,Funcamental Completo
destro,C
totalPlays,40
totalCorrect,33
successRate,1
playId,Beca,8112016,133326
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,583065
0,2,False,1,482977
0,1,False,1,149242
1,1,True,4,133958
0,1,False,2,149787
2,2,True,1,766416
2,0,False,0,350461
1,1,True,15,49965
0,0,True,5,083274
2,0,False,5,565847
2,0,False,0,650481
1,1,True,17,39943
0,0,True,9,849938
2,2,True,2,366546
2,2,True,2,767353
1,1,True,2,049104
0,0,True,1,633326
2,2,True,2,116248
2,2,True,0,7332189
1,1,True,2,816694
0,0,True,2,616437
2,2,True,3,632505
2,2,True,4,23359
1,1,True,3,783489
0,0,True,2,032842
2,2,True,50,83281
2,2,True,2,333428
1,1,True,1,133755
0,0,True,0,799906
2,2,True,3,116612
2,2,True,2,00061
1,1,True,0,8168671
0,0,True,1,733167
2,2,True,0,550045
2,2,True,0,350039
1,1,True,3,050927
0,0,True,2,865923
2,2,True,1,317254
2,2,True,2,466645
1,1,True,0,466686
