playerAlias,Iane
gender,F
age,21
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,30
successRate,1
playId,Iane,8112016,133442
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,4,467062
0,1,False,2,816807
0,1,False,9,466178
1,2,False,1,750095
0,1,False,14,96721
2,0,False,1,599366
2,2,True,1,649909
1,1,True,9,266319
0,2,False,3,716798
2,0,False,11,05003
2,1,False,1,316755
1,1,True,10,71625
0,0,True,6,76597
2,2,True,3,417284
2,2,True,3,198866
1,1,True,3,150228
0,2,False,3,3998
2,2,True,2,600875
2,2,True,2,182416
1,1,True,2,149489
0,0,True,3,099467
2,2,True,2,99843
2,2,True,5,950537
1,1,True,2,999536
0,0,True,3,082601
2,2,True,2,500769
2,2,True,2,050676
1,1,True,2,700451
0,0,True,6,015759
2,2,True,6,666579
2,2,True,16,53322
1,1,True,2,732964
0,0,True,15,03345
2,2,True,3,465856
2,2,True,2,048908
1,1,True,2,283359
0,0,True,2,699539
2,2,True,2,483001
2,2,True,3,78339
1,1,True,3,133129
