playerAlias,
gender,F
age,
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,34
successRate,1
playId,,8112016,13351
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,732848
0,0,True,5,88366
0,1,False,5,966788
1,1,True,9,13344
0,2,False,5,649829
2,0,False,11,6156
2,2,True,11,40042
1,1,True,3,916143
0,2,False,15,36633
2,2,True,6,699358
2,2,True,2,883197
1,1,True,3,383633
0,2,False,6,565793
2,2,True,2,533455
2,2,True,2,615913
1,1,True,2,96619
0,0,True,4,567173
2,2,True,3,499698
2,2,True,6,916052
1,1,True,3,583918
0,0,True,2,966981
2,2,True,3,749484
2,2,True,2,983315
1,1,True,3,066662
0,0,True,4,016827
2,2,True,2,63416
2,2,True,4,416626
1,1,True,3,416029
0,0,True,3,115427
2,2,True,0,8999431
2,2,True,2,266618
1,1,True,15,51656
0,0,True,2,783474
2,2,True,4,899438
2,2,True,3,016645
1,1,True,5,933491
0,0,True,3,299863
2,2,True,3,484116
2,2,True,1,483535
1,1,True,4,850285
