playerAlias,KAKA
gender,F
age,19
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,46
successRate,0,9
playId,KAKA,8112016,133629
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,24,1449
2,2,True,16,92356
0,2,False,5,369405
0,1,False,6,052439
2,1,False,2,400799
0,0,True,7,25398
0,2,False,22,30941
2,0,False,13,18817
0,0,True,49,96896
0,2,False,9,770511
2,2,True,6,953278
0,0,True,9,17065
0,0,True,27,19311
2,2,True,2,31829
0,0,True,5,90264
0,0,True,5,10155
2,2,True,1,634316
0,0,True,3,317195
0,2,False,3,000949
2,2,True,46,91785
0,0,True,3,351492
0,0,True,5,31854
2,2,True,4,818306
0,0,True,4,536069
0,2,False,2,852768
2,0,False,6,534441
0,0,True,3,301338
0,2,False,2,66706
2,2,True,3,101137
0,0,True,4,402068
0,2,False,6,035917
2,2,True,5,618529
0,0,True,4,167723
0,0,True,5,668867
2,2,True,1,601073
0,0,True,5,452821
0,0,True,6,169049
2,2,True,1,350649
0,0,True,1,800206
0,2,False,2,284457
2,2,True,3,63532
0,0,True,2,017404
0,0,True,0,2339501
2,2,True,2,851345
0,0,True,1,601243
0,2,False,4,119039
2,2,True,3,317136
0,0,True,3,635424
0,0,True,0,08421111
2,2,True,4,435436
0,0,True,13,15588
0,0,True,3,050435
2,2,True,5,185252
0,0,True,1,98455
0,2,False,7,001878
2,2,True,6,019756
0,0,True,5,118311
0,0,True,3,234832
2,2,True,0,6169021
0,0,True,1,650228
