playerAlias,Ivan
gender,M
age,18
education,Fundamental Completo
destro,D
totalPlays,40
totalCorrect,35
successRate,1
playId,Ivan,8112016,133637
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,3,566638
2,2,True,3,033243
2,2,True,2,582624
1,2,False,3,700279
0,2,False,1,298871
2,2,True,6,216406
2,2,True,2,333248
1,2,False,1,099096
0,0,True,1,466779
2,2,True,3,949891
2,2,True,2,916807
1,2,False,2,60047
0,0,True,2,483073
2,2,True,2,483285
2,2,True,3,050302
1,1,True,3,483348
0,0,True,2,883161
2,2,True,5,015551
2,2,True,2,782919
1,1,True,2,98268
0,0,True,4,96662
2,2,True,2,783218
2,2,True,4,39983
1,1,True,7,882266
0,0,True,3,332382
2,2,True,3,699404
2,2,True,4,899448
1,1,True,3,699572
0,0,True,3,082453
2,2,True,3,733351
2,2,True,6,599231
1,1,True,2,883591
0,0,True,3,866515
2,2,True,3,265831
2,2,True,3,699824
1,1,True,8,116312
0,0,True,3,431649
2,2,True,4,265751
2,2,True,2,500303
1,1,True,8,432498
