playerAlias,Break
gender,M
age,20
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,54
successRate,0,9
playId,Break,8112016,133844
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,7,3759
2,2,True,1,033765
0,1,False,1,4169
0,2,False,2,601056
2,1,False,2,667575
0,1,False,2,001078
0,0,True,5,268747
2,2,True,0,6334679
0,0,True,0,6500292
0,0,True,0,39975
2,2,True,2,550982
0,0,True,0,9840329
0,0,True,8,919974
2,2,True,12,00464
0,0,True,0,4333768
0,0,True,0,350193
2,2,True,0,30024
0,0,True,0,3330169
0,0,True,0,416811
2,2,True,0,3003809
0,0,True,0,316365
0,0,True,0,383008
2,2,True,0,4834461
0,0,True,0,333889
0,0,True,0,333411
2,2,True,0,316715
0,0,True,0,3167741
0,0,True,0,3168371
2,2,True,0,4168861
0,0,True,0,2836919
0,0,True,0,3669429
2,2,True,0,2501259
0,0,True,0,2836032
0,0,True,0,3670049
2,2,True,0,333544
0,0,True,0,283354
0,0,True,0,4669011
2,2,True,0,2668328
0,0,True,0,3334918
0,0,True,0,283339
2,2,True,0,4167919
0,0,True,0,3334999
0,0,True,0,3328769
2,2,True,0,3334959
0,0,True,0,2667959
0,0,True,0,2834189
2,2,True,0,2996809
0,0,True,0,3007469
0,0,True,0,3002269
2,2,True,0,2833712
0,0,True,0,383435
0,0,True,0,3001561
2,2,True,0,3168099
0,0,True,0,282953
0,2,False,0,400615
2,2,True,0,3002481
0,0,True,0,3668108
0,0,True,0,3002639
2,2,True,0,3168049
0,0,True,0,2835331
