playerAlias,Pelin
gender,M
age,22
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,49
successRate,1
playId,Pelin,8112016,133929
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,5,786907
2,1,False,0,9992449
0,0,True,1,350227
0,2,False,2,3662
2,0,False,3,099031
0,1,False,14,21631
0,2,False,7,183296
2,2,True,3,500299
0,0,True,2,965869
0,2,False,2,966858
2,0,False,6,783427
0,2,False,5,682678
0,2,False,6,866753
2,2,True,3,633234
0,0,True,5,566948
0,0,True,7,049802
2,2,True,6,966022
0,0,True,9,566463
0,0,True,2,66638
2,2,True,3,349242
0,0,True,3,51671
0,0,True,2,749727
2,2,True,3,033279
0,0,True,2,850715
0,2,False,2,999267
2,2,True,1,733556
0,0,True,2,449324
0,0,True,3,799873
2,2,True,2,566338
0,0,True,2,000336
0,0,True,5,949992
2,2,True,11,98238
0,0,True,5,166685
0,0,True,3,24928
2,2,True,44,76531
0,0,True,9,717534
0,0,True,14,98311
2,2,True,2,050445
0,0,True,13,53245
0,0,True,15,45037
2,2,True,2,215745
0,0,True,3,315887
0,0,True,2,716002
2,2,True,2,216317
0,0,True,3,017121
0,0,True,2,316971
2,2,True,2,216114
0,0,True,3,382641
0,0,True,2,599637
2,2,True,2,100406
0,0,True,2,848465
0,0,True,3,266856
2,2,True,2,73321
0,0,True,4,133621
0,0,True,2,616009
2,2,True,2,133108
0,0,True,3,649422
0,0,True,2,682426
2,2,True,2,016842
0,0,True,2,750043
