playerAlias,Wei
gender,M
age,20
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,53
successRate,1
playId,Wei,8112016,134011
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,0,True,4,116354
2,1,False,2,783033
0,1,False,3,168012
0,2,False,1,100305
2,1,False,3,466503
0,2,False,5,733732
0,2,False,17,08274
2,2,True,9,083446
0,0,True,3,633372
0,0,True,2,499685
2,2,True,1,915733
0,0,True,29,23307
0,0,True,26,88303
2,2,True,1,300674
0,0,True,0,4663281
0,0,True,0,3000829
2,2,True,0,2163038
0,0,True,0,283247
0,0,True,0,399636
2,2,True,0,6997778
0,0,True,0,2829521
0,0,True,0,133503
2,2,True,2,116927
0,0,True,0,4001491
0,0,True,0,71626
2,2,True,1,467029
0,0,True,0,8006151
0,0,True,2,249439
2,2,True,3,966954
0,0,True,4,400109
0,0,True,0,3172681
2,2,True,0,3161471
0,2,False,1,167044
0,0,True,1,06646
2,2,True,0,4498372
0,0,True,2,749334
0,0,True,0,4832909
2,2,True,1,715638
0,0,True,0,7482419
0,0,True,0,6836171
2,2,True,0,9998481
0,0,True,0,5680659
0,0,True,1,634073
2,2,True,1,200719
0,0,True,2,533359
0,0,True,1,100041
2,2,True,0,4834409
0,0,True,2,133784
0,0,True,0,383188
2,2,True,3,033447
0,0,True,1,534025
0,0,True,1,56574
2,2,True,1,550645
0,0,True,1,882539
0,0,True,0,5668159
2,2,True,1,117237
0,0,True,1,065357
0,0,True,0,332675
2,2,True,1,917516
0,0,True,0,533407
