playerAlias,ovo
gender,M
age,21
education,Superior Incompleto
destro,D
totalPlays,50
totalCorrect,48
successRate,1
playId,ovo,8112016,134031
stageID,nivel4-v1
resultInt,optionChosenInt,correct, time
0,2,False,4,252268
2,0,False,2,215714
1,1,True,2,51768
0,0,True,22,19955
2,2,True,0,6493232
1,1,True,0,5169249
0,0,True,1,400844
2,2,True,0,3156731
1,1,True,0,38381
0,0,True,1,216573
2,2,True,0,3334122
1,1,True,0,4159861
0,0,True,1,200382
2,2,True,0,299751
1,1,True,0,3167372
0,0,True,1,299873
2,2,True,0,2838349
1,1,True,1,199785
0,0,True,0,8671
2,2,True,0,2684309
1,1,True,0,384032
0,0,True,0,916889
2,2,True,0,2839961
1,1,True,0,299253
0,0,True,0,8993461
2,2,True,0,3341181
1,1,True,0,232856
0,0,True,0,4667411
2,2,True,0,3004041
1,1,True,0,1169391
0,0,True,1,016435
2,2,True,0,4849079
1,1,True,6,21619
0,0,True,1,699862
2,2,True,0,3330882
1,1,True,0,3349452
0,0,True,1,499677
2,2,True,0,01663494
1,1,True,1,033442
0,0,True,0,8837862
2,2,True,0,55074
1,1,True,0,383538
0,0,True,2,033879
2,2,True,0,350661
1,1,True,0,900111
0,0,True,2,449998
2,2,True,0,9175131
1,1,True,1,332928
0,0,True,1,69968
2,2,True,0,6986282
