playerAlias,rojas
gender,M
age,29
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,32
successRate,1
playId,rojas,8112016,13414
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,1,False,3,983337
2,1,False,3,051463
2,2,True,1,798847
1,0,False,5,30145
0,1,False,0,7337389
2,0,False,2,583607
2,2,True,5,283877
1,2,False,2,066585
0,0,True,1,683496
2,2,True,2,416599
2,2,True,0,81692
1,2,False,2,250327
0,0,True,1,516198
2,2,True,2,517109
2,2,True,1,033998
1,1,True,0,9830849
0,0,True,3,231741
2,2,True,1,100852
2,2,True,2,766811
1,1,True,2,998793
0,0,True,2,899292
2,2,True,3,651382
2,2,True,3,68347
1,1,True,2,448556
0,0,True,0,950017
2,0,False,3,883248
2,2,True,0,8833299
1,1,True,3,717144
0,0,True,2,682069
2,2,True,3,066731
2,2,True,2,782711
1,1,True,3,132906
0,0,True,3,000664
2,2,True,4,083815
2,2,True,2,966784
1,1,True,2,750058
0,0,True,2,815395
2,2,True,2,466306
2,2,True,0,9337349
1,1,True,0,683224
