playerAlias,cakauf
gender,M
age,18
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,52
successRate,1
playId,cakauf,8112016,13423
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,5,899772
2,2,True,3,649069
0,2,False,3,115263
0,2,False,2,665439
2,2,True,5,449881
0,2,False,3,08221
0,2,False,58,63052
2,2,True,41,4989
0,0,True,29,31566
0,0,True,3,299667
2,2,True,11,69849
0,0,True,17,31615
0,2,False,3,251106
2,2,True,21,33202
0,0,True,2,48268
0,2,False,2,733298
2,2,True,17,61584
0,0,True,6,549091
0,0,True,2,500289
2,2,True,2,667019
0,0,True,2,449177
0,0,True,2,766033
2,2,True,3,448811
0,0,True,3,182268
0,2,False,2,949689
2,2,True,2,450818
0,0,True,2,615741
0,0,True,3,849483
2,2,True,2,565515
0,0,True,2,850431
0,0,True,3,051084
2,2,True,2,449496
0,0,True,2,782762
0,0,True,3,566761
2,2,True,7,516739
0,0,True,2,132532
0,0,True,4,3989
2,2,True,4,900359
0,0,True,2,365722
0,0,True,3,015224
2,2,True,3,365887
0,0,True,2,966102
0,0,True,2,866612
2,2,True,3,099228
0,0,True,3,099014
0,0,True,3,033216
2,2,True,3,58323
0,0,True,9,250448
0,0,True,3,449289
2,2,True,6,365907
0,0,True,3,11548
0,0,True,2,80036
2,2,True,2,149014
0,0,True,2,799781
0,0,True,2,515902
2,2,True,3,182999
0,0,True,3,265917
0,0,True,2,898719
2,2,True,3,165891
0,0,True,3,132709
