playerAlias,Ivan
gender,M
age,18
education,Fundamental Completo
destro,D
totalPlays,60
totalCorrect,56
successRate,0,9
playId,Ivan,8112016,134259
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,2,False,2,145926
2,0,False,3,415864
0,0,True,2,715794
0,2,False,2,58289
2,2,True,3,266857
0,0,True,2,931916
0,0,True,2,866219
2,2,True,2,115525
0,0,True,2,133093
0,0,True,3,233336
2,2,True,3,182809
0,0,True,3,949957
0,0,True,3,33209
2,2,True,1,183475
0,0,True,2,933547
0,0,True,3,016597
2,2,True,1,166113
0,0,True,3,033882
0,0,True,7,914979
2,2,True,3,082948
0,0,True,2,516727
0,0,True,3,032717
2,2,True,4,783239
0,0,True,2,816291
0,0,True,2,566598
2,2,True,4,983401
0,0,True,2,38403
0,0,True,0,866118
2,2,True,2,934987
0,0,True,3,034231
0,0,True,2,699076
2,2,True,3,016248
0,0,True,3,465933
0,0,True,2,750266
2,2,True,2,866654
0,0,True,3,08318
0,0,True,3,699974
2,2,True,2,449898
0,0,True,2,599984
0,0,True,0,500798
2,2,True,0,566191
0,0,True,0,4665649
0,0,True,2,432566
2,2,True,2,19928
0,0,True,3,066467
0,0,True,3,433235
2,2,True,9,666117
0,0,True,5,616783
0,0,True,2,882837
2,2,True,5,817141
0,0,True,2,416576
0,2,False,3,066369
2,2,True,3,567066
0,0,True,3,049827
0,0,True,3,915903
2,2,True,3,783339
0,0,True,3,615948
0,0,True,2,76656
2,2,True,2,765017
0,0,True,3,134313
