playerAlias,
gender,M
age,
education,Superior Completo
destro,D
totalPlays,40
totalCorrect,34
successRate,1
playId,,8112016,134320
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,1,False,2,332593
2,1,False,2,76748
2,2,True,1,267679
1,0,False,3,283477
0,1,False,0,8997271
2,0,False,3,866794
2,1,False,0,8337021
1,1,True,2,516484
0,0,True,12,59994
2,2,True,10,63325
2,2,True,2,248928
1,1,True,0,683701
0,0,True,1,099424
2,2,True,0,5670409
2,2,True,4,366828
1,1,True,1,500197
0,0,True,1,266209
2,2,True,0,900183
2,2,True,1,817537
1,1,True,0,316643
0,0,True,0,4167001
2,2,True,0,9495571
2,2,True,0,549974
1,1,True,0,434083
0,0,True,1,933242
2,2,True,2,799796
2,2,True,0,4003971
1,1,True,1,533921
0,0,True,1,449675
2,2,True,1,466792
2,2,True,0,832757
1,1,True,0,4835548
0,0,True,0,6333818
2,2,True,1,482814
2,2,True,0,4507451
1,1,True,0,7667549
0,0,True,0,583106
2,2,True,0,3996029
2,2,True,0,3005178
1,1,True,0,400017
